DM_max_cosSim,DM_mean_cosSim,DBOW_max_cosSim,DBOW_mean_cosSim,DM_DBOW_max_cosSim,DM_DBOW_mean_cosSim,Annotation
0.57909,0.10728,0.77851,0.60431,0.75414,0.50752,correct
0.62162,0.14816,0.7313,0.50352,0.67989,0.4299,correct_but_incomplete
0.09096,0.02268,0.68977,0.68004,0.66568,0.47633,correct_but_incomplete
0.36315,0.0228,0.65944,0.50488,0.45431,0.27588,incorrect
0.18598,0.13306,0.03159,0.0086,0.13123,0.04349,incorrect
0.2508,0.08343,0.54497,0.22186,0.30371,0.09589,correct
0.07753,-0.05568,0.56123,0.31337,0.51669,0.26615,correct
0.41763,0.09312,0.63957,0.38066,0.61829,0.35374,correct
0.60961,0.38166,0.45534,0.3926,0.3517,0.28332,correct
0.41467,0.24653,0.57907,0.46336,0.35808,0.26457,correct
-0.05603,-0.05603,0.49427,0.49427,0.46257,0.46257,incorrect
0.13045,0.03484,0.77625,0.46285,0.54373,0.34161,incorrect
0.26404,0.03978,0.73613,0.65315,0.69236,0.59916,correct
0.24768,0.03654,0.67809,0.47341,0.67618,0.42004,correct
0.47669,0.16921,0.52825,0.3221,0.43498,0.23629,correct
0.01184,-0.009,0.08955,0.04892,0.06093,0.01378,correct
0.28775,0.08029,0.53156,0.24878,0.41938,0.19218,incorrect
0.22867,0.14888,0.59322,0.40778,0.42568,0.29697,incorrect
0.38306,0.03551,0.66891,0.39213,0.57086,0.25469,correct
0.23356,0.21103,0.61462,0.60925,0.60375,0.53397,correct_but_incomplete
0.26611,0.1387,0.03713,0.02058,0.26584,0.09083,contradictory
0.21381,0.05054,0.68696,0.53569,0.52339,0.29102,contradictory
0.22419,-0.10503,0.62752,0.53107,0.56838,0.42764,correct_but_incomplete
0.09043,-0.00493,0.08327,0.03085,0.0253,0.00755,incorrect
0.05501,0.01242,0.63639,0.51189,0.59083,0.36389,correct
-0.06234,-0.06234,0.62248,0.62248,0.58496,0.58496,correct
0.19519,-0.05331,0.54698,0.45866,0.52771,0.38927,correct
0.13124,0.07502,0.69146,0.52839,0.54971,0.32232,correct
0.14756,0.05873,0.78936,0.53415,0.72915,0.45618,contradictory
0.22219,0.07028,0.70074,0.58702,0.57983,0.26552,contradictory
0.19923,-0.0404,0.70969,0.43082,0.65482,0.34513,incorrect
-0.00592,-0.2322,0.73985,0.59168,0.70829,0.47526,incorrect
0.33238,0.11683,0.66829,0.52924,0.61876,0.40701,correct_but_incomplete
0.30355,0.08578,0.72655,0.51734,0.55159,0.31725,correct_but_incomplete
0.08173,0.00769,0.55281,0.38621,0.3448,0.20005,contradictory
0.39758,0.03272,0.65576,0.35929,0.64541,0.27619,incorrect
-0.02662,-0.05298,0.50924,0.28732,0.43169,0.20352,correct_but_incomplete
0.04124,-0.01295,0.65636,0.3273,0.64796,0.26346,contradictory
0.03059,0.0068,0.57311,0.51954,0.57261,0.29405,incorrect
0.0617,-0.01594,0.59533,0.40908,0.34755,0.23453,correct
-0.03394,-0.07631,0.67082,0.40121,0.54383,0.17051,correct_but_incomplete
0.20704,0.07856,0.59669,0.58473,0.59302,0.58244,correct_but_incomplete
0.06308,0.00755,0.62164,0.56144,0.52225,0.47104,incorrect
0.51511,0.22256,0.71091,0.56973,0.51625,0.25682,correct
0.20812,0.05504,0.0032,-0.03649,0.02597,-0.00236,correct_but_incomplete
0.74237,0.12461,0.81964,0.61417,0.3012,0.11975,contradictory
-0.07019,-0.1241,0.64548,0.33636,0.6452,0.38115,correct
0.04062,-0.01334,0.67142,0.31011,0.65973,0.15504,correct
0.35688,0.1792,0.68104,0.54676,0.64542,0.33931,correct
0.12245,0.06034,0.73204,0.36736,0.70563,0.33465,correct
0.04112,-0.137,0.06948,0.03123,0.02744,-0.02285,incorrect
0.39012,0.22418,0.67027,0.62223,0.551,0.36668,incorrect
0.01354,-0.0327,-0.07241,-0.08486,-0.00657,-0.03967,correct
-0.05523,-0.19771,0.55728,0.34172,0.39797,0.10595,incorrect
0.0966,0.04264,0.38635,0.3406,0.32485,0.28805,incorrect
0.20046,0.07958,0.7272,0.45036,0.51431,0.31376,incorrect
0.03195,-0.04952,0.56992,0.45146,0.35568,0.24932,correct
0.33514,0.22515,0.46978,0.41158,0.33877,0.3112,correct_but_incomplete
-0.01943,-0.0219,0.72734,0.396,0.72347,0.38398,correct
0.15004,-0.03348,0.7073,0.50634,0.70589,0.47906,correct_but_incomplete
0.11206,-0.0399,0.80561,0.52239,0.74676,0.41989,correct_but_incomplete
0.12352,0.03258,0.52727,0.39918,0.38293,0.24585,correct
0.05709,-0.0087,0.60866,0.57028,0.60796,0.51069,correct_but_incomplete
0.0388,0.0388,0.0115,0.0115,0.01693,0.01693,correct
0.0299,-0.02921,0.60495,0.50839,0.58401,0.39456,correct
0.44546,0.31767,0.05576,0.00636,0.43629,0.30245,correct
0.1367,0.10729,-0.03789,-0.05488,0.00711,-0.00712,correct_but_incomplete
0.16703,0.08731,0.6564,0.50238,0.36742,0.26209,incorrect
0.28895,0.07752,0.74171,0.50775,0.72128,0.48161,incorrect
0.11858,0.10173,0.73292,0.70836,0.13818,0.12884,correct
0.26347,0.04614,0.66989,0.48307,0.55857,0.41237,contradictory
0.02831,0.02831,0.46511,0.46511,0.35859,0.35859,correct_but_incomplete
-0.00345,-0.02235,0.69846,0.60983,0.66716,0.48867,incorrect
0.03953,-0.14356,0.63443,0.43951,0.38503,0.12568,correct_but_incomplete
0.03718,0.00636,0.79216,0.74206,0.79019,0.72105,correct
0.16598,-0.01094,0.4549,0.35904,0.40289,0.31659,incorrect
0.18658,-0.02902,0.59153,0.43266,0.4906,0.27559,incorrect
0.46666,0.26378,0.66313,0.58202,0.38425,0.29717,correct
0.26578,-0.05868,0.72303,0.52947,0.32024,0.23183,contradictory
0.55084,0.21824,0.67696,0.488,0.66538,0.39536,correct
0.82582,0.35738,0.63633,0.5393,0.37553,0.24826,correct
0.44692,0.11725,0.68867,0.4704,0.43534,0.16751,correct
0.79759,0.32154,0.84734,0.55859,0.56542,0.48651,incorrect
0.09168,0.01709,0.43127,0.29151,0.39988,0.25991,correct
0.01126,-0.09026,0.64707,0.54201,0.54347,0.37402,incorrect
0.71301,0.45367,0.68347,0.62317,0.63429,0.55664,correct
0.23088,0.03077,0.65711,0.50941,0.52927,0.32539,incorrect
0.05351,0.01143,0.76278,0.3292,0.67558,0.28545,incorrect
0.52744,0.15671,0.81614,0.50325,0.6953,0.38697,correct_but_incomplete
0.19863,0.142,0.45358,0.37194,0.18712,0.07994,incorrect
0.28204,0.09019,0.62939,0.54427,0.47199,0.33291,correct
0.25251,0.11756,0.66757,0.5229,0.63315,0.49696,incorrect
0.06469,-0.05938,0.64339,0.41257,0.46978,0.22827,incorrect
0.35391,0.09422,0.35683,0.06738,0.30206,0.10972,correct
0.21494,0.11816,0.69614,0.61162,0.54272,0.47799,correct
0.11107,-0.08076,0.4871,0.30271,0.32264,0.24718,incorrect
0.11621,0.02573,0.61887,0.389,0.58497,0.20592,incorrect
0.27244,0.13923,0.65023,0.61655,0.60817,0.5789,incorrect
0.29426,0.13663,0.57677,0.4344,0.48917,0.32199,incorrect
0.05453,-0.12361,0.62972,0.47402,0.34318,0.10861,incorrect
0.05109,-0.03459,0.64607,0.477,0.62416,0.36655,correct
0.27189,0.16883,0.61561,0.56429,0.50943,0.40755,correct
0.03614,-0.05244,0.64945,0.37055,0.20635,0.06612,incorrect
0.48307,0.17058,0.6559,0.3913,0.50799,0.28397,correct
0.03389,-0.01079,0.57534,0.34473,0.4661,0.21697,correct_but_incomplete
0.64994,0.2644,0.86347,0.61462,0.5735,0.27358,contradictory
0.57084,0.16635,0.61502,0.37165,0.4522,0.3533,correct_but_incomplete
0.1111,0.06294,0.47327,0.2513,0.36097,0.21091,correct
0.22888,0.07801,0.7875,0.42834,0.71625,0.29321,incorrect
0.24088,0.15406,0.71132,0.53021,0.31961,0.24946,correct_but_incomplete
0.12444,0.00597,0.66142,0.56311,0.63501,0.3966,incorrect
0.29628,0.13257,0.58297,0.53956,0.5586,0.5208,correct
0.13272,0.05939,0.63259,0.48496,0.46009,0.38185,contradictory
0.00927,0.00927,0.53225,0.53225,0.42194,0.42194,correct_but_incomplete
0.36328,0.06847,0.65928,0.42046,0.57652,0.27244,incorrect
-0.01983,-0.05969,0.69632,0.58772,0.58684,0.45057,correct
0.07698,-0.02573,0.5394,0.26927,0.24902,0.15407,correct
0.99179,0.4034,0.6096,0.5464,0.58665,0.43034,correct
0.12445,0.0104,0.62151,0.38962,0.61718,0.38398,correct
0.31322,0.1921,0.56355,0.34234,0.48169,0.2789,correct
0.51454,0.28773,-0.05035,-0.1156,0.35684,0.1216,correct_but_incomplete
0.0529,0.05117,0.62053,0.50258,0.58271,0.47421,contradictory
-0.06622,-0.09971,0.72711,0.67152,0.7146,0.66421,correct
0.17864,0.07771,0.66562,0.5667,0.66545,0.53714,contradictory
0.04389,0.0365,0.12052,0.08676,0.09015,0.06632,correct_but_incomplete
-0.00115,-0.04482,0.75293,0.62278,0.58195,0.39077,correct
-0.01408,-0.03685,0.00044,-0.03311,-0.00123,-0.03283,correct_but_incomplete
0.14835,-0.01542,0.59099,0.38364,0.4799,0.23667,incorrect
0.09802,-0.01917,0.64762,0.42374,0.60303,0.33186,incorrect
0.25341,0.0784,0.57204,0.3621,0.48812,0.31066,correct
0.25262,0.25262,0.49866,0.49866,0.38266,0.38266,correct_but_incomplete
0.09285,0.09285,0.04465,0.04465,0.08498,0.08498,incorrect
0.53231,0.27665,0.43387,0.33998,0.52585,0.26938,correct
0.34405,0.11509,0.7358,0.34431,0.73147,0.32097,correct
0.15135,0.15135,-0.04391,-0.04391,-0.02237,-0.02237,correct_but_incomplete
0.01464,-0.02606,0.66476,0.55752,0.63652,0.52019,contradictory
0.03512,0.03062,0.02024,0.00996,0.0154,0.01502,correct
0.01925,-0.0425,0.63308,0.48191,0.62359,0.40978,correct
0.21255,0.06962,0.39819,0.31025,0.25357,0.19788,incorrect
-0.0054,-0.02869,0.63462,0.35958,0.49389,0.2765,incorrect
0.25256,0.06187,0.52003,0.30825,0.28444,0.16517,contradictory
0.22794,0.22794,0.24393,0.24393,0.23862,0.23862,incorrect
0.10925,0.00768,0.03216,-0.00902,0.02506,-0.00737,correct
0.16236,-0.0364,0.6302,0.52446,0.59442,0.27439,correct
0.16379,0.00375,0.76373,0.48206,0.75789,0.43814,correct
0.02142,-0.01588,0.12393,0.06478,0.08308,0.04772,incorrect
0.1838,0.10517,0.7374,0.38869,0.49659,0.3108,correct
0.11791,0.03543,0.74605,0.44934,0.67305,0.36559,contradictory
0.16277,0.09273,0.5838,0.48694,0.46775,0.38932,correct
0.25068,0.18664,0.5807,0.3292,0.46934,0.30573,correct
-0.04147,-0.10022,0.72729,0.63045,0.52577,0.35573,incorrect
0.25235,0.14272,0.63226,0.44137,0.57958,0.40327,correct
0.91482,0.22411,0.00421,-0.02841,0.08729,0.01792,correct
-0.07302,-0.1499,0.3795,0.24561,0.0426,-0.03624,correct_but_incomplete
0.30684,0.01958,0.6632,0.52181,0.62754,0.40574,contradictory
0.03726,-0.05333,0.62672,0.53364,0.59956,0.46515,incorrect
0.09878,0.03787,0.70207,0.48034,0.70141,0.44651,correct
0.47791,0.23596,0.57674,0.27196,0.56808,0.25522,correct
0.0528,0.00192,0.77672,0.65836,0.63602,0.50858,contradictory
0.39745,0.29625,0.60387,0.51736,0.53429,0.36976,correct
0.70271,0.14,0.71136,0.36543,0.58433,0.31292,incorrect
0.55225,0.41217,0.45275,0.26556,0.46393,0.28387,correct_but_incomplete
0.03595,0.03595,0.63063,0.63063,0.55268,0.55268,correct
0.16245,0.16245,0.67587,0.67587,0.32263,0.32263,correct_but_incomplete
0.13315,0.02503,0.72269,0.48052,0.70355,0.46609,correct
0.59642,0.25422,0.85942,0.56626,0.81761,0.45758,correct_but_incomplete
0.08812,0.04062,0.69868,0.57577,0.57397,0.45271,incorrect
-0.00836,-0.00836,0.2186,0.2186,0.2107,0.2107,correct_but_incomplete
0.08587,0.00088,0.52024,0.41782,0.40345,0.32771,incorrect
-0.06552,-0.1319,0.0833,0.05068,0.00997,-0.00237,correct_but_incomplete
0.16817,0.043,0.60119,0.42516,0.45758,0.27309,correct
0.26421,0.0297,0.73304,0.66043,0.48903,0.44491,correct
0.22816,0.10496,0.04897,0.00802,0.22714,0.10566,incorrect
0.19459,0.05315,-0.03716,-0.07379,0.01534,-0.02805,correct
0.34553,0.18656,0.57991,0.41505,0.5196,0.30143,correct
-0.0274,-0.02974,0.62998,0.59608,0.19331,0.16853,correct_but_incomplete
0.19326,0.16577,0.44025,0.29311,0.39218,0.26864,correct
0.21208,-0.06017,0.64593,0.52746,0.51779,0.32729,incorrect
0.27832,0.05145,0.56947,0.40029,0.54845,0.36162,correct_but_incomplete
0.37212,0.13823,0.7806,0.68152,0.68737,0.60278,correct
0.05785,0.03284,0.67641,0.64079,0.6702,0.61351,correct_but_incomplete
0.00561,-0.17528,0.67264,0.51554,0.55072,0.34578,correct_but_incomplete
-0.10841,-0.10841,0.45926,0.45926,0.11396,0.11396,correct_but_incomplete
0.33034,0.19898,0.64321,0.50453,0.54869,0.43315,contradictory
0.507,0.19613,0.55853,0.46202,0.51185,0.42017,correct
0.18407,0.18407,0.62305,0.62305,0.29882,0.29882,correct
